user_id,offer_arm
3,1
5,0
12,1
13,2
20,0
21,0
23,1
33,0
40,0
42,1
48,0
53,1
55,0
57,2
65,1
67,1
70,2
71,0
74,1
85,1
91,1
92,1
93,1
102,0
109,1
112,0
116,2
120,2
126,1
127,1
128,1
137,0
141,1
142,1
145,1
146,1
150,1
152,0
162,1
183,1
187,1
196,2
197,0
203,1
207,1
209,2
219,0
225,0
230,1
233,0
240,0
248,1
251,1
256,0
260,0
264,0
267,1
271,1
274,1
279,0
281,1
291,1
293,1
294,1
295,0
298,1
300,2
302,2
303,1
304,0
308,2
310,1
315,1
321,2
323,0
342,1
349,2
354,0
355,1
368,0
375,1
388,1
389,1
397,1
402,0
419,2
421,1
423,0
431,0
434,0
436,0
442,0
443,1
451,1
452,1
456,0
457,1
459,1
463,0
470,1
488,0
491,1
496,1
509,2
511,2
513,0
518,1
519,1
525,1
528,1
533,1
540,1
542,1
543,2
562,1
568,0
573,1
575,2
576,1
592,2
596,0
597,2
606,1
621,0
622,1
626,1
628,1
630,1
631,0
637,1
642,0
649,1
666,0
667,0
680,0
681,0
682,0
683,2
688,0
708,1
721,1
725,0
729,0
736,0
737,1
740,1
743,1
746,1
755,0
761,0
768,0
770,0
771,1
779,2
782,1
789,2
793,0
795,1
797,1
798,1
800,0
801,1
804,0
807,1
811,1
812,1
817,0
829,1
831,1
835,2
837,1
838,0
846,1
851,1
859,1
867,1
871,1
873,1
875,1
877,0
880,1
881,0
882,2
907,0
920,0
924,1
925,1
929,1
941,0
943,0
944,0
945,1
952,1
957,0
961,2
963,0
970,0
971,1
972,0
974,0
976,1
979,1
981,0
982,1
986,0
1006,1
1011,0
1017,1
1020,0
1031,0
1041,0
1044,1
1046,1
1048,0
1049,0
1050,0
1056,2
1057,1
1059,0
1064,2
1071,0
1072,0
1073,0
1087,1
1098,0
1099,2
1102,1
1103,1
1107,0
1117,0
1124,0
1126,1
1130,0
1131,0
1132,1
1134,0
1135,1
1144,2
1156,1
1160,0
1169,0
1173,0
1176,1
1183,2
1184,2
1197,1
1199,0
1202,2
1203,1
1212,0
1216,1
1219,1
1222,0
1231,1
1234,1
1241,1
1252,0
1255,0
1257,0
1262,1
1264,1
1266,2
1268,2
1270,1
1273,1
1274,0
1293,1
1295,2
1296,0
1305,1
1306,1
1309,0
1310,1
1313,1
1316,1
1329,1
1331,0
1333,1
1339,1
1343,0
1352,1
1355,2
1364,1
1372,3
1374,0
1378,2
1381,1
1382,1
1383,0
1402,0
1412,2
1419,1
1440,1
1443,0
1456,0
1461,1
1467,1
1468,1
1476,0
1490,0
1491,0
1495,0
1496,2
1501,1
1510,0
1512,1
1518,1
1522,0
1526,2
1529,0
1530,0
1538,0
1546,1
1552,0
1560,1
1573,0
1590,1
1594,0
1597,2
1599,2
1600,1
1601,0
1609,0
1612,1
1615,1
1618,2
1619,2
1632,0
1638,0
1639,1
1641,1
1642,0
1645,0
1646,1
1647,0
1648,1
1652,1
1656,2
1666,0
1667,1
1668,1
1676,1
1684,2
1715,0
1725,1
1733,0
1739,1
1742,1
1744,0
1746,1
1750,1
1752,0
1757,1
1758,0
1762,0
1770,1
1771,0
1773,1
1775,1
1776,0
1778,1
1780,0
1781,2
1784,2
1786,1
1793,1
1795,2
1796,1
1801,1
1805,0
1810,0
1814,2
1815,1
1824,0
1825,1
1828,0
1830,0
1841,1
1848,1
1851,1
1853,1
1859,1
1861,1
1869,0
1871,0
1872,0
1873,1
1878,2
1880,0
1881,1
1882,0
1883,1
1890,0
1893,1
1896,0
1899,1
1905,0
1906,1
